year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;5;B1A01;D1;0;0.05;118.304;0;118.304
2021;5;B1A01;D2;0;0.05;258.479;0;258.479
2021;5;B1A01;D3;0;0.05;67.63;0;67.63
2021;6;B1A02;D1;0;0.05;640.442;0;640.442
2021;6;B1A02;D2;0;0.05;273.248;0;273.248
2021;6;B1A02;D3;0;0.05;433.133;152.925;280.207
2021;6;B1A03;D1;0;0.05;291.63;0;291.63
2021;6;B1A03;D2;0;0.05;92.727;9.363;83.364
2021;6;B1A03;D3;0;0.05;49.492;0;49.492
2021;6;B1A04;D1;0;0.05;21.107;0;21.107
2021;6;B1A04;D2;0;0.05;45.054;0;45.054
2021;6;B1A04;D3;0;0.05;124.857;44.264;80.594
2021;6;B1A05;D1;0;0.05;3.67;0;3.67
2021;6;B1A05;D2;0;0.05;17.861;0;17.861
2021;6;B1A05;D3;0;0.05;26.542;0;26.542
2021;6;B1A06;D1;0;0.05;517.505;38.979;478.526
2021;6;B1A06;D2;0;0.05;312.971;138.908;174.063
2021;6;B1A06;D3;0;0.05;104.579;0;104.579
2021;6;B1A07;D1;0;0.05;39.681;0;39.681
2021;6;B1A07;D2;0;0.05;19.952;0;19.952
2021;6;B1A07;D3;0;0.05;35.145;0;35.145
2021;6;B1A08;D1;0;0.05;50.204;0;50.204
2021;6;B1A08;D2;0;0.05;26.678;12.15;14.528
2021;6;B1A08;D3;0;0.05;155.174;107.738;47.436
2021;6;B1A11;D1;0;0.05;246.763;30.843;215.92
2021;6;B1A11;D2;0;0.05;204.139;34.315;169.824
2021;6;B1A11;D3;0;0.05;86.261;0;86.261
2021;6;B1A12;D1;0;0.05;60.557;47.776;12.781
2021;6;B1A12;D2;0;0.05;23.536;0;23.536
2021;6;B1A12;D3;0;0.05;18.655;0;18.655
2021;6;B1A13;D1;0;0.05;28.24;0;28.24
2021;6;B1A13;D2;0;0.05;25.673;0;25.673
2021;6;B1A13;D3;0;0.05;59.335;0;59.335
2021;6;B1A14;D1;0;0.05;42.782;0;42.782
2021;6;B1A14;D2;0;0.05;33.063;0;33.063
2021;6;B1A14;D3;0;0.05;298.458;142.171;156.286
2021;6;B1A15;D1;0;0.05;26.34;3.486;22.855
2021;6;B1A15;D2;0;0.05;4.776;0;4.776
2021;6;B1A15;D3;0;0.05;29.084;0;29.084
2021;6;B1A16;D1;0;0.05;40.116;0;40.116
2021;6;B1A16;D2;0;0.05;274.666;33.299;241.366
2021;6;B1A16;D3;0;0.05;50.166;0;50.166
2021;6;B1A17;D1;0;0.05;91.928;0;91.928
2021;6;B1A17;D2;0;0.05;225.782;0;225.782
2021;6;B1A17;D3;0;0.05;33.797;0;33.797
2021;6;B1A18;D1;0;0.05;16.155;0;16.155
2021;6;B1A18;D2;0;0.05;15.87;0;15.87
2021;6;B1A18;D3;0;0.05;41.582;20.141;21.441
2021;6;B1A19;D1;0;0.05;51.072;0;51.072
2021;6;B1A19;D2;0;0.05;77.01;0;77.01
2021;6;B1A19;D3;0;0.05;194.591;0;194.591
2021;6;B1A20;D1;0;0.05;47.304;15.79;31.514
2021;6;B1A20;D2;0;0.05;55.919;0;55.919
2021;6;B1A20;D3;0;0.05;78.848;0;78.848
2021;6;B1A21;D1;0;0.05;101.06;49.067;51.993
2021;6;B1A21;D2;0;0.05;45.12;16.993;28.127
2021;6;B1A21;D3;0;0.05;196.147;107.967;88.18
2021;6;B1A22;D1;0;0.05;405.369;145.811;259.558
2021;6;B1A22;D2;0;0.05;174.316;0;174.316
2021;6;B1A22;D3;0;0.05;199.174;62.732;136.442
2021;6;B2A01;D1;0;0.05;43;0;43
2021;6;B2A01;D2;0;0.05;64.338;0;64.338
2021;6;B2A01;D3;0;0.05;100.229;0;100.229
2021;6;B2A02;D1;0;0.05;531.925;118.198;413.726
2021;6;B2A02;D2;0;0.05;153.165;0;153.165
2021;6;B2A02;D3;0;0.05;95.394;0;95.394
2021;6;B2A03;D1;0;0.05;118.884;0;118.884
2021;6;B2A03;D2;0;0.05;44.751;0;44.751
2021;6;B2A03;D3;0;0.05;198.087;0;198.087
2021;6;B2A04;D1;0;0.05;17.626;3.229;14.398
2021;6;B2A04;D2;0;0.05;20.259;0;20.259
2021;6;B2A04;D3;0;0.05;22.769;0;22.769
2021;6;B2A05;D1;0;0.05;23.122;0;23.122
2021;6;B2A05;D2;0;0.05;25.656;0;25.656
2021;6;B2A05;D3;0;0.05;43.309;2.504;40.805
2021;6;B2A06;D1;0;0.05;90.04;53.714;36.326
2021;6;B2A06;D2;0;0.05;28.267;6.609;21.658
2021;6;B2A06;D3;0;0.05;152.508;113.341;39.167
2021;6;B2A08;D1;0;0.05;26.712;0;26.712
2021;6;B2A08;D2;0;0.05;20.792;0;20.792
2021;6;B2A08;D3;0;0.05;90.649;17.815;72.834
2021;6;B2A09;D1;0;0.05;106.861;14.339;92.521
2021;6;B2A09;D2;0;0.05;41.72;0;41.72
2021;6;B2A09;D3;0;0.05;63.052;0;63.052
2021;6;B2A10;D1;0;0.05;168.824;0;168.824
