"plotcode","mean_biomass","SGM","sowndiv","mean_org_02","mean_inorg_02","mean_C_02","mean_org_20","mean_inorg_20","mean_bulk","mean_C_20","block","TNleaching_av","leach_costs","meanSR","mean_org_diff","SOC_costs","costs_total"
"B1A01",579.408289473684,215.735861710526,16,15.378,6.60266666666667,21.9806666666667,18.7645450583333,6.8238517325,1.2546214505,25.5883967908333,"B1",2.09506563187462,-23.527587045952,11.8333333333333,3.38654505833333,454.858717603896,647.06699226847
"B1A02",392.618684210526,88.1585613157895,8,16.0866666666667,6.64,22.7266666666667,16.8336147516667,6.49107688283333,1.28762153433333,23.3246916345,"B1",2.61459307182777,-29.3618801966259,5.72881355932203,0.746948085,102.96404725659,161.760728375754
"B1A03",407.175789473684,98.1010642105263,8,14.27,6.57333333333333,20.8433333333333,13.8898334931667,7.41167689733333,1.40498446983333,21.3015103905,"B1",7.87460677619501,-88.43183409667,6.1864406779661,-0.380166506833334,-57.1810771136163,-47.51184699976
"B1A04",566.553157894737,206.955806842105,4,17.7933333333333,6.61666666666667,24.41,16.13080275,7.01840478633333,1.34779208433333,23.1492075363333,"B1",6.76259301777527,-75.9439195896163,3.35,-1.66253058333333,-239.883015944935,-108.871128692446
"B1A05",584.949210526316,219.520310789474,2,16.1833333333333,5.92,22.1033333333333,14.8861102533333,6.5496542775,1.34659926966667,21.4357645308333,"B1",5.45253817320743,-61.2320036851195,1.86440677966102,-1.29722308,-187.007918958,-28.719611853646
"B1A06",335.609447368421,49.2212525526316,16,15.47,6.06333333333333,21.5333333333333,16.7697007583333,6.54548160266667,1.3381643705,23.315182361,"B1",1.2663295594722,-14.2208809528728,12.8983050847458,1.29970075833334,186.191474169736,221.191845769495
"B1A07",250.921342105263,-8.62072334210524,2,17.6291666666667,5.86666666666667,23.4958333333333,16.93685348,6.11114217916667,1.288512477,23.0479956591667,"B1",5.83418237554982,-65.5178680774245,2,-0.692313186666667,-95.4988601340901,-169.63745155362
"B1A08",374.54,75.81082,1,16.5133333333333,6.07,22.5833333333333,15.8249580416667,6.2890732475,1.28937608766667,22.1140312891667,"B1",9.55571142070725,-107.310639254542,1,-0.68837529166667,-95.019303129689,-126.519122384231
"B1A09",131.13,-90.43821,1,18.5276666666667,6.08883333333333,24.6165,17.754681005,5.93487798616667,1.23699986583333,23.6895589911667,"B1",4.44480406846714,-49.915149688886,0.952380952380952,-0.772985661666667,-102.364188169472,-242.717547858359
"B1A11",358.207578947368,64.6557764210526,16,18.4566666666667,8.76333333333333,27.22,20.74362609,8.00769338633333,1.31235386033333,28.7513194763333,"B1",2.32554450225015,-26.1158647602692,11.0333333333333,2.28695942333333,321.3041744587,359.844086119483
"B1A12",586.339,220.469537,8,16.5833333333333,8.46,25.0433333333333,15.448378665,8.4151640775,1.24595847166667,23.8635427425,"B1",6.7695929031412,-76.0225283022757,5.3,-1.13495466833334,-151.387158935646,-6.9401502379219
